Symbol,Total_PnL,Avg_PnL,Trade_Count,Strategy,Avg_Price,Avg_Position_Value,Volatility_Ann,Total_Trades,Trading_Days,Trades_Per_Day,Estimated_Daily_Volume,Liquidity_Score,Liquidity_Tier,Market_Impact_Est,Market_Cap_Tier
BIIB,1345.3090199999988,672.6545099999994,2,SHORT,131.85500000000002,107284.98999999999,0.03630010176975649,2,2,1.0,5364249.5,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Large-cap ($10B-$200B)
BKNG,7226.30970000002,656.9372454545472,11,SHORT,5027.597272727273,119305.60909090909,5.993493600382347,11,11,1.0,5965280.454545454,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BLDR,2760.077265000013,394.296752142859,7,SHORT,127.77214285714285,112042.36285714286,16.928696186001567,7,7,1.0,5602118.142857143,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BLK,-325.532350000008,-32.553235000000804,10,SHORT,1074.7484,119374.2138,4.38064763328885,10,10,1.0,5968710.6899999995,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BOOT,-73.30624000001171,-8.145137777779079,9,SHORT,169.08888888888885,114780.21722222221,9.694997828348857,9,9,1.0,5739010.861111111,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BR,200.6402549999754,50.16006374999385,4,SHORT,251.87375,109629.31125,0.613835454909305,4,4,1.0,5481465.5625,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BX,1871.4654599999944,1871.4654599999944,1,SHORT,176.39,117828.51999999999,0.0,1,1,1.0,5891425.999999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BXP,29.79899999998402,29.79899999998402,1,SHORT,67.645,101805.72499999999,0.0,1,1,1.0,5090286.25,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Mid-cap ($2B-$10B)
BYND,5006.590060000011,1251.6475150000028,4,SHORT,0.9525750000000001,133980.38655,23.02895613673038,4,4,1.0,6699019.3275,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
BZH,2010.306260000007,502.57656500000166,4,SHORT,20.278025,133598.3666,5.408998605941837,4,4,1.0,6679918.33,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
BZUN,4048.254330000004,4048.254330000004,1,SHORT,2.72,134950.08000000002,0.0,1,1,1.0,6747504.000000001,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
CAH,1888.7881999999984,629.5960666666662,3,SHORT,203.33666666666667,129706.39333333333,13.523100169598349,3,3,1.0,6485319.666666666,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CAR,3212.112825000105,321.2112825000105,10,SHORT,143.09812,123636.79964000001,12.971957379097462,10,10,1.0,6181839.982000001,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CAT,1850.992979999948,205.6658866666609,9,SHORT,455.0855555555556,114189.12555555555,6.7354077927144065,9,9,1.0,5709456.277777778,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CB,-280.87295500001136,-70.21823875000284,4,SHORT,276.2225,105299.01749999999,2.8901650740214255,4,4,1.0,5264950.874999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CDNS,2239.673909999974,248.8526566666638,9,SHORT,330.8597666666667,113310.62891111111,8.952598028857906,9,9,1.0,5665531.445555556,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CDW,-1895.5636900000204,-631.8545633333401,3,SHORT,169.07416666666666,108190.81166666666,9.47372382959084,3,3,1.0,5409540.583333333,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CEG,2489.0087150000245,138.2782619444458,18,SHORT,322.30710555555555,111841.95689444445,11.47130632837025,18,18,1.0,5592097.844722223,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CGNX,-1980.3684250000167,-990.1842125000086,2,SHORT,35.165,132296.815,16.282734165010787,2,2,1.0,6614840.75,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
CHTR,2588.2714599999927,161.76696624999954,16,SHORT,300.10875000000004,112110.2859375,8.937315511552987,16,16,1.0,5605514.296875,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CI,8204.247964999955,911.5831072222172,9,SHORT,286.48055555555555,109352.83888888889,17.102830931365617,9,9,1.0,5467641.944444444,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CMCSA,-34.77450000001028,-34.77450000001028,1,SHORT,26.645,129228.25,0.0,1,1,1.0,6461412.5,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
CME,-399.2212200000002,-99.80530500000006,4,SHORT,268.91625,113656.98625,2.0149955658642034,4,4,1.0,5682849.3125,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CMI,1171.274759999992,234.2549519999984,5,SHORT,412.996,120105.796,5.674122814571941,5,5,1.0,6005289.8,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
COF,-1443.8827100000042,-1443.8827100000042,1,SHORT,213.93,111885.39,0.0,1,1,1.0,5594269.5,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
COIN,4545.983755000054,284.12398468750337,16,SHORT,322.49226875,115264.26595624999,15.927882290154407,16,16,1.0,5763213.297812499,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
COO,-282.8383599999951,-282.8383599999951,1,SHORT,66.17,112621.34,0.0,1,1,1.0,5631067.0,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
COP,-550.9251600000077,-550.9251600000077,1,SHORT,88.24,129183.35999999999,0.0,1,1,1.0,6459167.999999999,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
COR,-470.9756799999899,-78.49594666666498,6,SHORT,290.11333333333334,107932.28833333333,7.441311497692377,6,6,1.0,5396614.416666666,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
COST,8192.581479999983,199.81906048780445,41,SHORT,942.2796170731707,112983.7070682927,6.269277533303604,41,41,1.0,5649185.353414635,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CPAY,-37.90194000000321,-5.414562857143316,7,SHORT,304.2742857142857,113729.01142857142,8.323221581165125,7,7,1.0,5686450.571428571,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CPB,-41.22601000000477,-41.22601000000477,1,SHORT,30.5,129228.5,0.0,1,1,1.0,6461425.0,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
CPRT,-322.2225999999915,-322.2225999999915,1,SHORT,39.115,129235.96,0.0,1,1,1.0,6461798.0,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
CRL,744.9269999999949,248.3089999999983,3,SHORT,157.32166666666666,109839.50166666666,25.68817437128733,3,3,1.0,5491975.083333333,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CRM,987.5516899999902,164.59194833333171,6,SHORT,245.20833333333334,113110.11083333334,8.151014911978939,6,6,1.0,5655505.541666667,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CRWD,7418.974604999996,285.34517711538444,26,SHORT,475.2176,115170.01618846155,16.33601156318436,26,26,1.0,5758500.809423078,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CSGP,-49.47910000000462,-49.47910000000462,1,SHORT,73.2769,99949.69159999999,0.0,1,1,1.0,4997484.579999999,49.99999999999999,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
CSIQ,9094.429999999977,4547.214999999988,2,SHORT,23.729999999999997,133022.74,34.52102311748458,2,2,1.0,6651137.0,50.0,Tier 3 (Moderate),1.9999999999999998,Mid-cap ($2B-$10B)
CTAS,163.6982100000126,163.6982100000126,1,SHORT,207.16,112487.88,0.0,1,1,1.0,5624394.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
CVX,1003.9399999999912,1003.9399999999912,1,SHORT,144.07,101857.48999999999,0.0,1,1,1.0,5092874.5,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Large-cap ($10B-$200B)
DASH,885.5553450000255,221.3888362500064,4,SHORT,222.41875000000002,116748.07375000001,15.324709167015921,4,4,1.0,5837403.687500001,50.0,Tier 3 (Moderate),1.9999999999999998,Large-cap ($10B-$200B)
DD,950.2407100000104,950.2407100000104,1,SHORT,34.485,123904.605,0.0,1,1,1.0,6195230.25,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
DDOG,459.913549999991,229.9567749999955,2,SHORT,124.4025,105803.745,8.290086746135874,2,2,1.0,5290187.25,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DE,1065.7186500000032,96.88351363636392,11,SHORT,483.27637272727264,112481.03827272728,10.497689932248027,11,11,1.0,5624051.913636364,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DELL,1043.0950000000091,1043.0950000000091,1,SHORT,124.15,113100.65000000001,0.0,1,1,1.0,5655032.5,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DGX,214.30241999999456,107.15120999999728,2,SHORT,176.475,107078.72499999999,1.4373723520058022,2,2,1.0,5353936.25,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Large-cap ($10B-$200B)
DHI,3614.3275999999855,903.5818999999964,4,SHORT,151.005,114821.92125,23.080102563903797,4,4,1.0,5741096.0625,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DHR,1374.1012350000235,687.0506175000119,2,SHORT,198.065,113676.11500000002,8.892968302895571,2,2,1.0,5683805.750000001,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DIA,91.10200000001358,91.10200000001358,1,SHORT,483.75,133031.25,0.0,1,1,1.0,6651562.5,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DLR,307.90794999999406,307.90794999999406,1,SHORT,170.56,102677.12,0.0,1,1,1.0,5133856.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DOW,1901.7656000000031,950.8828000000016,2,SHORT,23.15,133169.37,12.303844093489387,2,2,1.0,6658468.5,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
DPZ,-354.93364000002555,-23.66224266666837,15,SHORT,436.598,114849.32,5.721997165522467,15,15,1.0,5742466.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DRI,-1766.6600649999932,-883.3300324999966,2,SHORT,181.29,121396.9,5.394198773380013,2,2,1.0,6069845.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
DUST,155.7961350000136,155.7961350000136,1,SHORT,8.35,129249.65,0.0,1,1,1.0,6462482.5,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
DVN,-1344.2237799999998,-448.07459333333327,3,SHORT,36.11600000000001,133000.49466666664,3.155299630211919,3,3,1.0,6650024.7333333315,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
DXCM,-1567.772190000006,-1567.772190000006,1,SHORT,68.44,117100.84,0.0,1,1,1.0,5855042.0,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
EDIT,912.6150000000076,912.6150000000076,1,SHORT,2.19,133241.79,0.0,1,1,1.0,6662089.5,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
EFX,-268.6883149999932,-53.73766299999863,5,SHORT,234.88199999999998,114414.78,7.560915971013743,5,5,1.0,5720739.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
EG,-1170.154304999974,-195.0257174999957,6,SHORT,329.8333333333333,108916.31416666666,4.020353690700229,6,6,1.0,5445815.708333333,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
EL,1123.0749999999916,1123.0749999999916,1,SHORT,85.395,114856.275,0.0,1,1,1.0,5742813.75,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
ELV,4909.403595000007,306.83772468750044,16,SHORT,316.10865625,109433.4673125,9.338822029318093,16,16,1.0,5471673.365625,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
EME,1371.5721300000173,114.29767750000144,12,SHORT,632.0476666666667,123458.11941666664,7.830382546644618,12,12,1.0,6172905.970833332,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
EOG,-349.8120000000029,-349.8120000000029,1,SHORT,107.68,129216.00000000001,0.0,1,1,1.0,6460800.000000001,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
EQIX,444.4513400000216,31.746524285715825,14,SHORT,785.9835714285713,117536.32142857143,8.434715887785147,14,14,1.0,5876816.071428572,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ERIE,-469.1059200000436,-117.2764800000109,4,SHORT,297.7725,121855.795,16.628364919742165,4,4,1.0,6092789.75,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ESS,-220.65940999998676,-110.32970499999335,2,SHORT,266.03499999999997,112541.035,0.2789978407643524,2,2,1.0,5627051.75,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ETN,2479.4506000000056,826.4835333333352,3,SHORT,364.28999999999996,118433.40000000001,12.979432285625855,3,3,1.0,5921670.0,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
EWZ,-398.7446399999945,-398.7446399999945,1,SHORT,31.305,133234.08,0.0,1,1,1.0,6661703.999999999,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
EXAS,1608.3907349999893,804.1953674999946,2,SHORT,53.65375,100849.765,12.454470587722968,2,2,1.0,5042488.25,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
EXE,949.3200000000028,949.3200000000028,1,SHORT,94.68,110964.96,0.0,1,1,1.0,5548248.0,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
FANG,491.1044850000088,122.7761212500022,4,SHORT,140.46,102183.195,2.9622101089318815,4,4,1.0,5109159.75,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
FDS,4939.850264999974,493.9850264999974,10,SHORT,343.1515,114471.4015,12.60155429815384,10,10,1.0,5723570.075,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
FDX,1120.115389999984,280.028847499996,4,SHORT,245.81565,114854.5745,11.0028648434341,4,4,1.0,5742728.725000001,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Mega-cap ($200B+)
FFIV,-539.0477199999798,-89.8412866666633,6,SHORT,288.82166666666666,122040.17333333334,9.431969463558167,6,6,1.0,6102008.666666667,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
FICO,8226.786050000008,1175.255150000001,7,SHORT,1529.9312857142857,114335.14428571427,27.25812981609559,7,7,1.0,5716757.214285714,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
GDX,2280.4293099999886,760.1431033333296,3,SHORT,75.09833333333334,123715.54,16.182314571176917,3,3,1.0,6185777.0,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
GE,-797.7787250000212,-159.55574500000424,5,SHORT,256.558,108437.18399999998,7.229424043721777,5,5,1.0,5421859.199999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
GILD,-56.13399999999388,-56.13399999999388,1,SHORT,124.095,129058.8,0.0,1,1,1.0,6452940.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
GLD,1584.259014999985,316.851802999997,5,SHORT,356.30780000000004,118988.89920000001,3.9941087324115783,5,5,1.0,5949444.960000001,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
GME,5029.946479999997,838.3244133333328,6,SHORT,21.363349999999997,133703.69621666666,10.383650049721634,6,6,1.0,6685184.810833333,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
GOOG,-483.2803499999856,-161.0934499999952,3,SHORT,219.0744,111377.6504,7.616227157934998,3,3,1.0,5568882.52,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
GOOGL,2301.423654999965,255.71373944444056,9,SHORT,245.64794444444448,118422.32194444444,9.050468237748689,9,9,1.0,5921116.097222222,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
GS,2506.934895000001,147.4667585294118,17,SHORT,755.8695294117647,116901.13952941177,9.787887098641756,17,17,1.0,5845056.976470589,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
HD,2403.4336499999995,184.8795115384615,13,SHORT,362.5753538461539,115741.5506769231,3.718510454712145,13,13,1.0,5787077.533846155,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
HON,-311.7668649999895,-155.88343249999474,2,SHORT,224.9075,105031.80249999999,4.405084677263726,2,2,1.0,5251590.125,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Mega-cap ($200B+)
HPQ,3064.6670700000304,766.1667675000076,4,SHORT,23.22835,133760.25100000002,8.439585816813324,4,4,1.0,6688012.550000001,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
IAU,1474.8431400000168,737.4215700000084,2,SHORT,82.22,134591.89,4.1894732306246505,2,2,1.0,6729594.500000001,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
IBB,-361.5869799999914,-361.5869799999914,1,SHORT,167.445,133286.22,0.0,1,1,1.0,6664311.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
IBM,795.1811199999268,88.35345777776963,9,SHORT,282.7680222222222,118579.36882222221,6.810332930181483,9,9,1.0,5928968.44111111,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
IDXX,4179.038535000017,278.60256900000115,15,SHORT,629.2495066666668,117588.58837333332,10.994233551636544,15,15,1.0,5879429.418666665,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
INTC,569.7774650000135,189.9258216666712,3,SHORT,37.192299999999996,133208.8411,5.893660247318074,3,3,1.0,6660442.055,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
INTU,3191.754244999994,102.95981435483851,31,SHORT,682.4810677419354,115643.42965161291,5.088824338262639,31,31,1.0,5782171.482580646,50.0,Tier 3 (Moderate),1.9999999999999998,Large-cap ($10B-$200B)
ISRG,7940.990194999965,294.1107479629617,27,SHORT,487.12994444444445,111340.58922222222,12.98644880896394,27,27,1.0,5567029.461111111,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
